[OK] Loka is running
[RESUME] Skipping first 318,600 rows; resuming from 32,877,248 triples already inserted
Loading dataset 'philippesaade/wikidata' (split=train, streaming)...
Skipping 318,600 rows from previous state...
  ... skipped 5,000
  ... skipped 10,000
  ... skipped 15,000
  ... skipped 20,000
  ... skipped 25,000
  ... skipped 30,000
  ... skipped 35,000
  ... skipped 40,000
  ... skipped 45,000
  ... skipped 50,000
  ... skipped 55,000
  ... skipped 60,000
  ... skipped 65,000
  ... skipped 70,000
  ... skipped 75,000
  ... skipped 80,000
  ... skipped 85,000
  ... skipped 90,000
  ... skipped 95,000
  ... skipped 100,000
  ... skipped 105,000
  ... skipped 110,000
  ... skipped 115,000
  ... skipped 120,000
  ... skipped 125,000
  ... skipped 130,000
  ... skipped 135,000
  ... skipped 140,000
  ... skipped 145,000
  ... skipped 150,000
  ... skipped 155,000
  ... skipped 160,000
  ... skipped 165,000
  ... skipped 170,000
  ... skipped 175,000
  ... skipped 180,000
  ... skipped 185,000
  ... skipped 190,000
  ... skipped 195,000
  ... skipped 200,000
  ... skipped 205,000
  ... skipped 210,000
  ... skipped 215,000
  ... skipped 220,000
  ... skipped 225,000
  ... skipped 230,000
  ... skipped 235,000
  ... skipped 240,000
  ... skipped 245,000
  ... skipped 250,000
  ... skipped 255,000
  ... skipped 260,000
  ... skipped 265,000
  ... skipped 270,000
  ... skipped 275,000
  ... skipped 280,000
  ... skipped 285,000
  ... skipped 290,000
  ... skipped 295,000
  ... skipped 300,000
  ... skipped 305,000
  ... skipped 310,000
  ... skipped 315,000

--- Streaming entities; target 50,000,000 triples ---

  rows=318,623  triples=32,878,263  (3 ent/s, 138 triples/s, errors=0)
  rows=318,653  triples=32,880,425  (3 ent/s, 201 triples/s, errors=5)
  rows=318,690  triples=32,882,632  (4 ent/s, 236 triples/s, errors=12)
  rows=318,725  triples=32,884,648  (4 ent/s, 255 triples/s, errors=23)
  rows=318,752  triples=32,886,825  (4 ent/s, 268 triples/s, errors=50)
  rows=318,783  triples=32,888,901  (4 ent/s, 279 triples/s, errors=54)
  rows=318,801  triples=32,890,076  (4 ent/s, 273 triples/s, errors=56)
  rows=318,835  triples=32,892,203  (4 ent/s, 284 triples/s, errors=65)
  rows=318,875  triples=32,894,302  (5 ent/s, 293 triples/s, errors=67)
  rows=318,899  triples=32,896,417  (5 ent/s, 299 triples/s, errors=67)
  rows=318,934  triples=32,898,531  (5 ent/s, 305 triples/s, errors=76)
  rows=318,977  triples=32,900,646  (5 ent/s, 312 triples/s, errors=77)
  rows=319,017  triples=32,902,822  (5 ent/s, 318 triples/s, errors=78)
  rows=319,059  triples=32,904,864  (5 ent/s, 322 triples/s, errors=80)
  rows=319,095  triples=32,906,864  (5 ent/s, 326 triples/s, errors=89)
  rows=319,129  triples=32,909,195  (5 ent/s, 331 triples/s, errors=90)
  rows=319,164  triples=32,911,274  (6 ent/s, 333 triples/s, errors=92)
  rows=319,200  triples=32,913,391  (6 ent/s, 337 triples/s, errors=93)
  rows=319,231  triples=32,915,459  (6 ent/s, 340 triples/s, errors=94)
  rows=319,266  triples=32,917,503  (6 ent/s, 343 triples/s, errors=95)
  rows=319,301  triples=32,919,592  (6 ent/s, 346 triples/s, errors=99)
  rows=319,341  triples=32,921,719  (6 ent/s, 349 triples/s, errors=99)
  rows=319,398  triples=32,924,838  (6 ent/s, 353 triples/s, errors=100)
  rows=319,433  triples=32,927,018  (6 ent/s, 350 triples/s, errors=140)
  rows=319,483  triples=32,929,029  (6 ent/s, 352 triples/s, errors=146)
  rows=319,512  triples=32,931,104  (6 ent/s, 354 triples/s, errors=154)
  rows=319,542  triples=32,933,238  (6 ent/s, 355 triples/s, errors=164)
  rows=319,588  triples=32,936,310  (6 ent/s, 358 triples/s, errors=168)
  rows=319,633  triples=32,939,017  (6 ent/s, 359 triples/s, errors=170)
  rows=319,674  triples=32,942,086  (6 ent/s, 361 triples/s, errors=170)
  rows=319,707  triples=32,944,166  (6 ent/s, 362 triples/s, errors=172)
  rows=319,746  triples=32,946,246  (6 ent/s, 364 triples/s, errors=173)
  rows=319,787  triples=32,949,294  (6 ent/s, 365 triples/s, errors=201)
  rows=319,827  triples=32,952,096  (6 ent/s, 366 triples/s, errors=212)
  rows=319,875  triples=32,955,212  (6 ent/s, 368 triples/s, errors=216)
  rows=319,924  triples=32,958,255  (6 ent/s, 370 triples/s, errors=225)
  rows=319,958  triples=32,960,314  (6 ent/s, 371 triples/s, errors=225)
  rows=319,969  triples=32,960,314  (6 ent/s, 354 triples/s, errors=225)
  rows=320,000  triples=32,963,394  (6 ent/s, 357 triples/s, errors=226)
  rows=320,041  triples=32,966,305  (6 ent/s, 358 triples/s, errors=451)
  rows=320,085  triples=32,969,541  (6 ent/s, 360 triples/s, errors=456)
  rows=320,136  triples=32,972,683  (6 ent/s, 362 triples/s, errors=457)
  rows=320,162  triples=32,974,721  (6 ent/s, 363 triples/s, errors=460)
  rows=320,201  triples=32,977,571  (6 ent/s, 364 triples/s, errors=460)
  rows=320,232  triples=32,979,627  (6 ent/s, 365 triples/s, errors=474)
