Label cache: training\data\wikidata_labels.sqlite (104,823 entries on open)
Preloaded 7,312 curated property labels.
=== Pass 1: scan labels from philippesaade/wikidata ===
  pass 1:      5,000 rows,      5,000 labels,      28 rows/s, elapsed   177 s
  pass 1:     10,000 rows,      9,983 labels,      32 rows/s, elapsed   312 s
  pass 1:     15,000 rows,     14,969 labels,      34 rows/s, elapsed   446 s
  pass 1:     20,000 rows,     19,923 labels,      36 rows/s, elapsed   554 s
  pass 1:     25,000 rows,     24,783 labels,      39 rows/s, elapsed   645 s
  pass 1:     30,000 rows,     29,690 labels,      40 rows/s, elapsed   748 s
'The read operation timed out' thrown while requesting GET https://huggingface.co/datasets/philippesaade/wikidata/resolve/f515679220b381e7a00971fb3f077e8391355727/data/chunk_0-00017-of-00546.parquet
Retrying in 1s [Retry 1/5].
'[WinError 10054] An existing connection was forcibly closed by the remote host' thrown while requesting GET https://huggingface.co/datasets/philippesaade/wikidata/resolve/f515679220b381e7a00971fb3f077e8391355727/data/chunk_0-00017-of-00546.parquet
Retrying in 2s [Retry 2/5].
'[WinError 10054] An existing connection was forcibly closed by the remote host' thrown while requesting GET https://huggingface.co/datasets/philippesaade/wikidata/resolve/f515679220b381e7a00971fb3f077e8391355727/data/chunk_0-00017-of-00546.parquet
Retrying in 4s [Retry 3/5].
  pass 1:     35,000 rows,     34,603 labels,      37 rows/s, elapsed   942 s
  pass 1:     40,000 rows,     39,472 labels,      37 rows/s, elapsed 1,075 s
  pass 1:     45,000 rows,     44,392 labels,      39 rows/s, elapsed 1,155 s
  pass 1:     50,000 rows,     49,274 labels,      40 rows/s, elapsed 1,252 s
  pass 1:     55,000 rows,     54,117 labels,      40 rows/s, elapsed 1,392 s
  pass 1:     60,000 rows,     59,012 labels,      39 rows/s, elapsed 1,533 s
  pass 1:     65,000 rows,     63,922 labels,      40 rows/s, elapsed 1,628 s
  pass 1:     70,000 rows,     68,835 labels,      40 rows/s, elapsed 1,732 s
  pass 1:     75,000 rows,     73,680 labels,      41 rows/s, elapsed 1,830 s
  pass 1:     80,000 rows,     78,606 labels,      41 rows/s, elapsed 1,936 s
  pass 1:     90,000 rows,     88,239 labels,      43 rows/s, elapsed 2,071 s
  pass 1:     95,000 rows,     92,778 labels,      44 rows/s, elapsed 2,144 s
  pass 1:    100,000 rows,     97,511 labels,      45 rows/s, elapsed 2,223 s
  pass 1:    105,000 rows,    102,153 labels,      46 rows/s, elapsed 2,271 s
  pass 1:    110,000 rows,    107,020 labels,      46 rows/s, elapsed 2,373 s
  pass 1:    115,000 rows,    111,743 labels,      47 rows/s, elapsed 2,466 s
  pass 1:    120,000 rows,    116,286 labels,      47 rows/s, elapsed 2,542 s
  pass 1:    130,000 rows,    125,715 labels,      49 rows/s, elapsed 2,679 s
